Symbol,Company,Market Cap,% Change,Volume,Revenue
NVDA,NVIDIA Corporation,"3,492.76B",-3.12%,"232,646,692",113.27B
AAPL,Apple Inc.,"3,350.14B",-0.39%,"52,621,751",391.04B
MSFT,Microsoft Corporation,"3,301.53B",-0.59%,"14,638,570",254.19B
AVGO,Broadcom Inc.,"1,147.00B",1.84%,"24,861,940",51.57B
TSM,Taiwan Semiconductor Manufacturing Company Limited,899.12B,-1.22%,"13,130,858",88.29B
ORCL,Oracle Corporation,513.52B,-1.54%,"12,038,412",54.93B
SAP,SAP SE,322.37B,0.33%,"836,984",37.10B
CRM,"Salesforce, Inc.",319.52B,-0.23%,"3,194,054",37.19B
ASML,ASML Holding N.V.,289.55B,-1.87%,"1,500,207",29.29B
CSCO,"Cisco Systems, Inc.",247.85B,-0.14%,"16,894,424",52.98B
NOW,"ServiceNow, Inc.",232.10B,-0.81%,"905,824",10.46B
ACN,Accenture plc,226.68B,-0.23%,"1,827,635",66.36B
IBM,International Business Machines Corporation,207.86B,-0.55%,"3,191,992",62.58B
AMD,"Advanced Micro Devices, Inc.",199.35B,-0.16%,"30,941,100",24.30B
QCOM,QUALCOMM Incorporated,191.21B,-1.29%,"5,688,429",38.96B
ADBE,Adobe Inc.,189.52B,-0.43%,"2,624,189",21.51B
PLTR,Palantir Technologies Inc.,179.92B,-,"76,966,969",2.65B
ARM,Arm Holdings plc,170.81B,-2.43%,"6,468,255",3.54B
TXN,Texas Instruments Incorporated,169.01B,-7.52%,"14,858,227",15.64B
INTU,Intuit Inc.,167.38B,-0.06%,"1,888,626",16.59B
ANET,Arista Networks Inc,162.72B,0.04%,"6,974,008",6.61B
AMAT,"Applied Materials, Inc.",151.96B,-2.07%,"5,998,471",27.18B
UBER,"Uber Technologies, Inc.",144.37B,0.38%,"14,148,427",41.96B
SHOP,Shopify Inc.,139.13B,1.49%,"5,737,836",8.21B
SONY,Sony Group Corporation,125.82B,-2.53%,"4,807,250",91.76B
PANW,"Palo Alto Networks, Inc.",123.17B,0.20%,"3,069,070",8.29B
APP,AppLovin Corporation,121.85B,0.16%,"2,825,958",4.29B
ADP,"Automatic Data Processing, Inc.",121.06B,0.44%,"1,094,400",19.52B
FI,"Fiserv, Inc.",118.81B,1.14%,"1,784,182",20.12B
MU,"Micron Technology, Inc.",114.97B,-1.57%,"19,329,814",29.09B
ADI,"Analog Devices, Inc.",107.88B,-4.81%,"3,891,203",9.43B
MRVL,"Marvell Technology, Inc.",107.31B,-1.62%,"9,541,460",5.38B
LRCX,Lam Research Corporation,102.52B,-1.91%,"8,974,519",15.59B
KLAC,KLA Corporation,100.30B,-1.46%,"739,073",10.26B
APH,Amphenol Corporation,93.06B,-1.73%,"6,318,202",15.22B
CRWD,"CrowdStrike Holdings, Inc.",92.35B,-0.74%,"2,267,742",3.74B
INFY,Infosys Limited,90.13B,-0.46%,"7,525,432",19.11B
INTC,Intel Corporation,89.84B,-3.43%,"65,835,872",54.25B
MSTR,MicroStrategy Incorporated,88.27B,-5.21%,"22,450,886",467.24M
CDNS,"Cadence Design Systems, Inc.",87.90B,-1.24%,"1,379,802",4.35B
SNPS,"Synopsys, Inc.",84.43B,-0.97%,"879,661",6.13B
MSI,"Motorola Solutions, Inc.",80.08B,0.66%,"842,633",10.66B
DELL,Dell Technologies Inc.,79.35B,-0.43%,"5,374,776",93.95B
FTNT,"Fortinet, Inc.",74.27B,-0.56%,"4,037,905",5.71B
TEAM,Atlassian Corporation,68.97B,-0.34%,"1,137,759",4.57B
WDAY,"Workday, Inc.",68.70B,1.17%,"1,772,176",8.16B
ADSK,"Autodesk, Inc.",64.63B,-0.08%,"728,135",5.96B
TTD,"The Trade Desk, Inc.",59.21B,0.69%,"3,548,123",2.31B
SNOW,Snowflake Inc.,57.48B,-0.47%,"2,905,225",3.41B
ROP,"Roper Technologies, Inc.",56.98B,-0.35%,"379,436",6.78B
XYZ,"Block, Inc.",54.95B,0.99%,"5,322,851",23.86B
NXPI,NXP Semiconductors N.V.,54.24B,-2.93%,"2,715,946",12.93B
PAYX,"Paychex, Inc.",52.61B,0.94%,"1,423,919",5.37B
DDOG,"Datadog, Inc.",47.90B,0.56%,"2,813,140",2.54B
GLW,Corning Incorporated,46.45B,0.50%,"4,479,084",12.61B
TEL,TE Connectivity plc,46.17B,-1.46%,"1,013,231",15.85B
FICO,Fair Isaac Corporation,44.19B,-2.14%,"389,753",1.72B
NET,"Cloudflare, Inc.",42.94B,0.96%,"2,068,717",1.57B
FIS,"Fidelity National Information Services, Inc.",42.65B,-0.08%,"1,948,950",10.03B
GRMN,Garmin Ltd.,41.14B,-0.63%,"463,318",5.96B
IT,"Gartner, Inc.",40.77B,0.72%,"372,253",6.14B
CTSH,Cognizant Technology Solutions Corporation,39.69B,0.46%,"1,257,149",19.41B
WIT,Wipro Limited,38.84B,0.80%,"7,199,869",10.38B
HUBS,"HubSpot, Inc.",37.51B,-1.43%,"358,274",2.51B
MPWR,"Monolithic Power Systems, Inc.",33.09B,-2.91%,"1,003,920",2.04B
HPE,Hewlett Packard Enterprise Company,32.05B,0.04%,"9,237,184",30.13B
ANSS,"ANSYS, Inc.",31.25B,-0.83%,"350,351",2.47B
HPQ,HP Inc.,30.69B,-1.95%,"4,047,240",53.56B
MCHP,Microchip Technology Incorporated,30.28B,-5.34%,"10,295,626",5.50B
KEYS,"Keysight Technologies, Inc.",29.94B,-0.17%,"698,213",4.98B
ZS,"Zscaler, Inc.",29.69B,0.40%,"1,183,256",2.30B
GDDY,GoDaddy Inc.,29.10B,0.05%,"761,630",4.48B
FTV,Fortive Corporation,27.94B,0.35%,"1,439,579",6.20B
BR,"Broadridge Financial Solutions, Inc.",27.74B,0.25%,"298,602",6.50B
IOT,Samsara Inc.,27.04B,0.42%,"2,781,810",1.18B
CPAY,"Corpay, Inc.",26.44B,0.51%,"300,228",3.88B
UI,Ubiquiti Inc.,26.04B,-0.12%,"81,876",2.02B
